SubjectID,AssignmentID,ProblemID,event_count,run_count,compile_count,compile_error_event_count,compile_error_result_count,compile_success_count,score_event_count,max_score,mean_score,first_order,last_order,compile_error_count
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,1,2,1,1,0,0,1,1,1.0,1.0,11161,11162,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,3,9,4,4,1,1,3,4,1.0,0.59375,11163,11171,2
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,5,8,3,3,2,2,1,3,1.0,0.3333333333333333,11133,11140,4
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,12,2,1,1,0,0,1,1,1.0,1.0,11172,11173,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,13,49,6,6,37,5,1,6,1.0,0.16666666666666666,11000,11048,42
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,232,21,3,3,15,2,1,3,1.0,0.3333333333333333,11049,11069,17
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,233,20,7,7,6,5,2,7,1.0,0.2517007142857143,11141,11160,11
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,234,2,1,1,0,0,1,1,1.0,1.0,11072,11073,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,235,2,1,1,0,0,1,1,1.0,1.0,11070,11071,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,439,236,59,11,11,37,10,1,11,1.0,0.09090909090909091,11074,11132,47
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,17,2,1,1,0,0,1,1,1.0,1.0,30819,30820,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,20,2,1,1,0,0,1,1,1.0,1.0,30817,30818,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,21,4,2,2,0,0,2,2,1.0,0.7,30813,30816,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,22,2,1,1,0,0,1,1,1.0,1.0,30821,30822,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,24,5,2,2,1,1,1,2,1.0,0.5,30776,30780,2
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,25,12,5,5,2,2,3,5,1.0,0.41904759999999996,30796,30807,4
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,28,5,2,2,1,1,1,2,1.0,0.5,30808,30812,2
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,100,8,3,3,2,2,1,3,1.0,0.3333333333333333,30781,30788,4
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,101,2,1,1,0,0,1,1,1.0,1.0,30789,30790,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,487,102,5,2,2,1,1,1,2,1.0,0.5,30791,30795,2
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,31,7,3,3,1,1,2,3,1.0,0.5151516666666667,50489,50495,2
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,32,10,4,4,2,2,2,4,1.0,0.38636375,50479,50488,4
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,33,31,8,8,15,6,2,8,1.0,0.1333333375,50496,50526,21
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,34,121,39,39,43,25,14,39,1.0,0.21245416923076924,50527,50647,68
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,36,8,3,3,2,2,1,3,1.0,0.3333333333333333,50471,50478,4
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,37,4,2,2,0,0,2,2,1.0,0.9333335,50422,50425,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,38,18,7,7,4,4,3,7,1.0,0.3904761428571429,50426,50443,8
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,39,10,3,3,4,2,1,3,1.0,0.3333333333333333,50461,50470,6
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,40,2,1,1,0,0,1,1,1.0,1.0,50420,50421,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,492,128,17,5,5,7,4,1,5,1.0,0.2,50444,50460,11
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,41,4,2,2,0,0,2,2,1.0,0.5,64153,64156,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,43,56,18,18,20,14,4,18,1.0,0.18055555555555555,64157,64212,34
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,44,7,3,3,1,1,2,3,1.0,0.43333333333333335,64213,64219,2
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,46,30,14,14,2,2,12,14,1.0,0.5714285714285714,64220,64403,4
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,49,2,1,1,0,0,1,1,1.0,1.0,64144,64145,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,67,36,15,15,6,4,11,15,1.0,0.5166666666666667,64231,64266,10
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,104,32,10,10,12,5,5,10,1.0,0.23333330000000002,64267,64399,17
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,106,7,2,2,3,1,1,2,1.0,0.5,64146,64152,4
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,107,14,7,7,0,0,7,7,1.0,0.5064935714285714,64297,64310,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,108,72,15,15,42,8,7,15,1.0,0.14385961333333333,64311,64401,50
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,45,11,5,5,1,1,4,5,1.0,0.27999979999999997,99923,99933,2
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,48,8,2,2,4,1,1,2,1.0,0.5,99934,99941,5
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,51,4,2,2,0,0,2,2,1.0,0.6923075,99942,99945,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,56,4,2,2,0,0,2,2,1.0,0.9285715,99946,99949,0
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,57,12,3,3,6,2,1,3,1.0,0.3333333333333333,99950,99961,8
